9-s2.0-16238069600,Cairo University,Cairo,Egypt 
9-s2.0-16243886200,Brookhaven National Laboratory,Upton,United States 
9-s2.0-16303502900,Pontificia Universidad Católica de Chile,Santiago,Chile 
9-s2.0-16304394300,Jeju National University,Jeju,South Korea 
9-s2.0-16306338700,College of Health and Human Sciences,West Lafayette,United States 
9-s2.0-16306542400,The University of Texas at Austin,Austin,United States 
9-s2.0-16307791900,"ABB Group, USA",Cary,United States 
9-s2.0-16308551800,Microsoft Corporation,Redmond,United States 
9-s2.0-16311512800,Massachusetts Institute of Technology,Cambridge,United States 
9-s2.0-16317853600,University of Central Florida,Orlando,United States 
9-s2.0-16402246300,Research Center for Integrated Disaster Risk Management (CIGIDEN),Santiago,Chile 
9-s2.0-16425358100,Lawrence Berkeley National Laboratory,Berkeley,United States 
9-s2.0-16428845900,"University of California, Irvine",Irvine,United States 
9-s2.0-16456768000,Aix Marseille Université,Marseille,France 
9-s2.0-16471460800,Université de Bordeaux,Bordeaux,France 
9-s2.0-16485465000,Nokia Corporation,Espoo,Finland 
9-s2.0-16506159600,University of Pennsylvania,Philadelphia,United States 
9-s2.0-16508309700,Shenzhen University,Shenzhen,China 
9-s2.0-16512874900,Politecnico di Milano,Milan,Italy 
9-s2.0-16551390100,GE Global Research,Niskayuna,United States 
9-s2.0-16552791800,Information Sciences Institute,Marina del Rey,United States 
9-s2.0-16553955900,University of Notre Dame,Notre Dame,United States 
9-s2.0-16554076300,Chuo University,Hachioji,Japan 
9-s2.0-16633816200,Iran University of Science and Technology,Tehran,Iran 
9-s2.0-16643616700,Universidade Estadual de Campinas,Campinas,Brazil 
9-s2.0-16644973300,Khalifa University of Science and Technology,Abu Dhabi,United Arab Emirates 
9-s2.0-16644985900,University of Notre Dame,Notre Dame,United States 
9-s2.0-16687039300,Oak Ridge National Laboratory,Oak Ridge,United States 
9-s2.0-16745169900,"University of California, Los Angeles",Los Angeles,United States 
9-s2.0-16835400100,Princeton University,Princeton,United States 
9-s2.0-17342173000,Arizona State University Polytechnic Campus,Mesa,United States 
9-s2.0-17343671200,University of Groningen,Groningen,Netherlands 
9-s2.0-17345086800,Aston University,Birmingham,United Kingdom 
9-s2.0-17347108000,Ministry of Education China,Beijing,China 
9-s2.0-17433945200,Arizona State University,Tempe,United States 
9-s2.0-17435775800,University of Notre Dame,Notre Dame,United States 
9-s2.0-18038101800,Lehigh University,Bethlehem,United States 
9-s2.0-18041833800,Stanford University,Palo Alto,United States 
9-s2.0-18042324900,Carnegie Mellon University,Pittsburgh,United States 
9-s2.0-18042919100,Department of Mechanical and Aerospace Engineering,San Diego,United States 
9-s2.0-18340229800,Changzhou University,Changzhou,China 
9-s2.0-18433377200,Los Alamos National Laboratory,Los Alamos,United States 
9-s2.0-18433530100,Georgia Institute of Technology,Atlanta,United States 
9-s2.0-18634001800,Babson College,Babson Park,United States 
9-s2.0-18937984900,University of Miami Leonard M. Miller School of Medicine,Miami,United States 
9-s2.0-19334462000,"University of Copenhagen, Faculty of Health Sciences",Copenhagen,Denmark 
9-s2.0-19639921100,University of Notre Dame,Notre Dame,United States 
9-s2.0-20336683000,University of Notre Dame,Notre Dame,United States 
9-s2.0-20433556100,King Abdullah University of Science and Technology,Jeddah,Saudi Arabia 
9-s2.0-20435787800,Instituut Born-Bunge,Antwerpen,Belgium 
9-s2.0-20734520600,University of Illinois at Urbana-Champaign,Urbana,United States 
9-s2.0-20734739100,Texas Tech University,Lubbock,United States 
9-s2.0-21034576800,Tohoku University School of Medicine,Sendai,Japan 
9-s2.0-21535524600,Norwegian Institute of Public Health,Oslo,Norway 
9-s2.0-21739868800,"Union College, Schenectady",Schenectady,United States 
9-s2.0-21743001700,Dassault Systemes,Velizy-Villacoublay,France 
9-s2.0-21934725400,"Newcastle University, United Kingdom",Newcastle,United Kingdom 
9-s2.0-22033479900,University of Notre Dame,Notre Dame,United States 
9-s2.0-22235341500,University of Chinese Academy of Sciences,Beijing,China 
9-s2.0-22634327300,South China Normal University,Guangzhou,China 
9-s2.0-22635502600,Arizona State University,Tempe,United States 
9-s2.0-22936000200,The University of Arizona,Tucson,United States 
9-s2.0-22936650100,Czech University of Life Sciences Prague,Prague,Czech Republic 
9-s2.0-22941513400,Naval Research Laboratory,"Washington, D.C.",United States 
9-s2.0-22945919300,Pennsylvania State University,University Park,United States 
9-s2.0-22950408800,University of Notre Dame,Notre Dame,United States 
9-s2.0-22951405100,Washington State University Pullman,Pullman,United States 
9-s2.0-22952621700,Purdue University,West Lafayette,United States 
9-s2.0-22952870800,Università degli Studi di Catania,Catania,Italy 
9-s2.0-22954771200,University Corporation for Atmospheric Research,Monterey,United States 
9-s2.0-22960228400,University of Notre Dame,Notre Dame,United States 
9-s2.0-22967157600,Indira Gandhi Centre for Atomic Research,Kalpakam,India 
9-s2.0-22973987900,The University of New Mexico,Albuquerque,United States 
